"시점",선행종합지수(2020=100),선행종합지수 전월비(%),재고순환지표(전월차)(%p),경제심리지수(전월차)(p),기계류내수출하지수(선박제외)(전월비)(%),건설수주액(전월비)(%),수출입물가비율(전월비)(%),코스피(전월비)(%),장단기금리차(전월차)(%p),선행지수 순환변동치,〔순환변동치 전월차〕(p),선행지수 전년동월비(%),〔전년동월비 전월차〕(%p),동행종합지수(2020=100),동행종합지수 전월비(%),광공업생산지수(전월비)(%),서비스업생산지수(도소매업제외)(전월비)(%),건설기성액(전월비)(%),소매판매액지수(전월비)(%),내수출하지수(전월비)(%),수입액(전월비)(%),비농림어업취업자수(전월비)(%),동행지수 순환변동치,〔순환변동치 전월차〕(p),후행종합지수(2020=100),후행종합지수 전월비(%),생산자제품재고지수(전월비)(%),소비자물가지수변화율(서비스)(전월차)(%p),소비재수입액(전월비)(%),취업자수(전월비)(%),CP유통수익률(전월차)(%p)
"2020.05",98.5,0.0,-2.7,-8.7,-0.9,-3.1,1.4,-3.5,0.10,98.5,-0.3,2.8,-0.3,98.2,-0.9,-2.1,-1.7,-0.9,2.2,-0.9,-1.0,-1.1,96.4,-0.9,99.5,0.1,0.1,0.0,2.8,-1.1,0.1
"2020.06",99.0,0.5,-1.5,-0.1,-0.9,15.6,-0.5,6.2,0.12,98.7,0.2,3.1,0.3,98.5,0.3,-1.7,0.6,-1.0,3.3,-0.4,0.0,0.0,96.5,0.1,99.7,0.2,0.4,0.0,0.8,-0.1,0.0
"2020.07",99.6,0.6,0.8,5.1,-1.4,16.8,-1.5,5.8,0.03,99.0,0.3,3.4,0.3,98.8,0.3,0.0,1.2,-0.2,0.5,0.0,-2.1,0.4,96.6,0.1,99.9,0.2,0.1,0.0,0.0,0.4,-0.2
"2020.08",100.4,0.8,2.3,6.4,-0.2,2.3,0.0,6.1,0.05,99.5,0.5,3.9,0.5,99.4,0.6,3.2,0.7,-1.2,0.0,2.6,-3.7,0.4,97.0,0.4,100.2,0.3,0.1,0.0,1.6,0.3,-0.2
"2020.09",101.1,0.7,2.7,3.1,0.9,-4.3,1.1,3.5,0.02,99.8,0.3,4.3,0.4,100.0,0.6,2.5,0.0,-0.2,-0.6,1.6,1.7,0.1,97.4,0.4,100.5,0.3,-0.7,0.1,1.1,0.1,-0.1
"2020.10",101.7,0.6,2.8,4.0,0.6,-0.3,0.6,2.3,0.03,100.2,0.4,4.7,0.4,100.6,0.6,1.8,0.0,-1.4,1.0,1.5,1.7,0.1,97.8,0.4,100.6,0.1,-1.3,-0.3,4.4,0.1,-0.1
"2020.11",102.6,0.9,4.7,2.9,2.8,8.0,0.1,2.2,0.07,100.7,0.5,5.4,0.7,101.3,0.7,1.6,0.6,1.4,-0.2,1.3,1.2,0.2,98.4,0.6,100.8,0.2,-2.0,0.1,1.7,0.2,-0.1
"2020.12",103.2,0.6,-0.3,2.7,1.8,1.2,-0.6,5.3,0.03,101.0,0.3,5.7,0.3,101.6,0.3,0.4,0.4,0.0,-0.2,0.0,1.2,0.0,98.5,0.1,101.0,0.2,-1.2,0.0,2.3,0.1,0.0
"2021.01",103.9,0.7,1.5,1.3,1.9,1.2,-1.1,9.6,0.05,101.3,0.3,6.0,0.3,101.4,-0.2,0.7,-0.3,-2.6,1.1,-0.8,0.1,-0.4,98.1,-0.4,101.4,0.4,-0.2,0.6,-0.1,-0.4,0.0
"2021.02",104.4,0.5,2.0,1.6,1.7,-5.0,-1.3,7.0,0.02,101.6,0.3,6.2,0.2,101.7,0.3,1.3,0.2,-1.0,0.3,0.1,1.6,-0.2,98.2,0.1,101.7,0.3,0.3,0.2,1.2,0.0,0.0
